"topic","occurrences controversy sampled","total occurrences"
"actualidad",2671,34225
"mnm",1207,75607
"ocio",616,4249
"cultura",577,12240
"politica",252,1242
"tecnología",170,5082
"ciencia",18,659
"Podemos",18,21
"Hemeroteca",12,50
"gilipolleces",5,21
"Bulos",4,16
"OYOYOY",3,26
"Abuso_Animal",2,14
"Cocíname",2,10
"Visualdata",2,26
"Música",2,9
"astronomia",1,95
"LGBT",1,3
"BARCOS",1,27
"Fakeame",1,2
"Feminismo",1,2
"vacúname",1,41
"IMGUR",1,1
"Asperger",1,1
"emnm",1,56
"NoMundoToday",1,2
"podríame",1,1
"linux",1,48
"PALABROS",1,4
"Coronavirus",1,8
"MÚSICA70",1,2
"BUAMBUSUB",1,0
"Historia",1,16
"Eurovision",1,0
"ciclismo",1,0
"RebeliónMnm",1,0
"Cine",1,6
"Sucesos",1,29
"ebola",1,0
